Group,N,Actual Pass Rate,Accuracy,TPR,FPR,Predicted Pass Rate
1,34,0.7647,0.6765,0.7308,0.5,0.6765
2,63,0.8095,0.746,0.8431,0.6667,0.8095
3,58,0.7414,0.7586,0.8605,0.5333,0.7759
4,53,0.7925,0.8113,0.9524,0.7273,0.9057
