Experiment,Model,Test F1,Test ROC-AUC,CV F1,CV AUC
Experiment 1 (Baseline),Logistic Regression,0.7961,0.7326,0.8090 +/- 0.0149,0.7797 +/- 0.0479
Experiment 1 (Baseline),Random Forest,0.8802,0.7616,0.8820 +/- 0.0068,0.7958 +/- 0.0559
Experiment 1 (Baseline),XGBoost,0.8598,0.7545,0.8529 +/- 0.0223,nan +/- nan
Experiment 2 (Feature Engineering),Logistic Regression,0.7947,0.7255,0.8094 +/- 0.0216,0.7793 +/- 0.0483
Experiment 2 (Feature Engineering),Random Forest,0.8807,0.7485,0.8848 +/- 0.0114,0.7936 +/- 0.0452
Experiment 2 (Feature Engineering),XGBoost,0.8494,0.7711,0.8733 +/- 0.0225,nan +/- nan
Experiment 3 (Tuned),Logistic Regression,0.8725,0.7195,0.8830 +/- 0.0060,0.7784 +/- 0.0555
Experiment 3 (Tuned),Random Forest,0.8757,0.7435,0.8892 +/- 0.0174,0.7926 +/- 0.0490
Experiment 3 (Tuned),XGBoost,0.8459,0.7671,0.8744 +/- 0.0254,nan +/- nan
