Model,Accuracy,Precision,Recall,F1,ROC_AUC,Avg_Precision
XGBoost (Mathematics only),0.6456,0.7358,0.7358,0.7358,0.5958,0.7496
XGBoost (Combined dataset),0.756,0.8333,0.8589,0.8459,0.7671,0.9122
